Geography,Payroll_Employees: Q3 2025,Job Vacancy: Q3 2025,Net_interprovincial_migration,Delta_Immigrants,Delta_Births,Emigrants,Returning_Emigrants,Population,Expenditure_Region,Total_Expenditure,Food_Expenditure,Food_Stores_Expenditure,Food_Restaurants_Expenditure,Shelter_Expenditure,Principal_Accommodation_Expenditure,Rent_Expenditure,Owned_Home_Expenditure,Utilities_Expenditure,Other_Accommodation_Expenditure,Household_Operations_Expenditure,Communications_Expenditure,Furnishings_Expenditure,Furniture_Expenditure,Equipment_Expenditure,Appliances_Expenditure,Clothing_Expenditure,Transportation_Expenditure,Private_Transport_Expenditure,Public_Transport_Expenditure,Healthcare_Expenditure,Direct_Healthcare_Expenditure,Personal_Care_Expenditure,Recreation_Expenditure,Rec_Equipment_Expenditure,Home_Entertainment_Expenditure,Rec_Services_Expenditure,Rec_Vehicles_Expenditure,Education_Expenditure,Reading_Expenditure,Tobacco_Alcohol_Expenditure,Gambling_Expenditure,Misc_Expenditure,Language,Immigrant_Density,Job_Growth_Potential,Net_Migration_Rate,Natural_Growth_Rate,Delta_Immigrant_Per_Capita,Total_Expenditure_Scaled,Shelter_Expenditure_Scaled,Food_Expenditure_Scaled,Transportation_Expenditure_Scaled,Healthcare_Expenditure_Scaled,Education_Expenditure_Scaled,Public_Transport_Expenditure_Scaled,Delta_Immigrant_Per_Capita_Scaled,Canadian_Opportunity_Index
"Interlake, Manitoba",28105,1110,38.0,495,1012,113.0,46.0,107575,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.01761252446183953,0.5954131145764258,0.03532419242389031,0.8356960260283524,0.16302334288722126,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.16302334288722126,0.4989507146579018
"Yorkton-Melville, Saskatchewan",34735,1250,214.0,671,881,86.0,47.0,87543,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.019317691089679,0.4892105820286855,0.24445129821916087,0.908125149926322,0.3004123824433444,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.3004123824433444,0.4923537294704667
"Laval, Quebec",162490,4200,-38.0,2994,3914,738.0,468.0,461509,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.018425749276878577,0.1822578043265617,-0.008233858927994903,0.6881772619818899,0.24760750121959035,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.24760750121959035,0.48067654729083636
"Bas-Saint-Laurent, Quebec",84110,2270,40.0,500,1383,101.0,34.0,204755,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.005944596361907027,0.2167925382552458,0.019535542477595175,0.6261141364069254,0.06617185052334693,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.06617185052334693,0.4795542371299261
"Vancouver Island and Coast, British Columbia",335550,11440,2398.0,4735,6123,2646.0,1159.0,954177,British Columbia,108172,12129,8500,3601,28739,25872,6834,16607,2431,2867,6113,3557,3379,1587,1510,858,2531,12540,10291,2250,3139,2529,1953,6027,1386,286,2800,1556,2194,210,1687,98,1915,English,0.01411116078080763,0.4318866476836051,0.2513160556165156,0.3643978004081004,0.17921165364254305,0.6727889524723296,0.9529015288508962,0.32379817242749365,0.5845206006931081,0.6160000000000005,0.9999999999999999,1.0,0.17921165364254305,0.478915490030876
"Montréal, Quebec",1268035,34435,-5373.0,25837,19425,8874.0,4221.0,2172259,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,Bilingual,0.02037562054675147,0.22187025578005992,-0.2473461958265566,0.485715561542155,0.4900910105143985,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.4900910105143985,0.472177139610173
"Edmonton, Alberta",729895,20385,11869.0,21809,17837,3732.0,2018.0,1737604,Prairies,110664,13831,10056,3736,24046,21739,4467,13301,3971,2307,6377,3712,3526,1545,1707,923,2691,13619,11661,1958,3331,2507,2313,5353,1474,329,2830,720,1760,162,2149,304,1670,English,0.029879640222223745,0.24525677097162635,0.6830670279304145,0.8117499729512593,0.5195623008741416,0.7581811328513175,0.5671543646227191,1.0,1.0,1.0,0.6315789473684209,0.7525423728813558,0.5195623008741416,0.41567287928861313
"Northeast, Ontario",232055,7815,-391.0,3865,4654,727.0,325.0,624671,Ontario,117721,11768,7957,3759,29312,26383,5683,17501,3198,2930,6395,3588,3433,1632,1451,818,3107,11936,10001,1935,3143,2497,1730,5179,1595,327,2658,599,2033,228,1599,179,1934,Bilingual,0.016655534248346298,0.41929494730071715,-0.06259294892831586,0.6286509218452594,0.23414573072668077,1.0,1.0,0.18037346046881275,0.35194455140546843,0.6240000000000006,0.8633276740237691,0.7330508474576269,0.23414573072668077,0.41422917553120026
British Columbia,2427445,81000,-2392.0,56203,44371,25023.0,9777.0,5697536,British Columbia,108172,12129,8500,3601,28739,25872,6834,16607,2431,2867,6113,3557,3379,1587,1510,858,2531,12540,10291,2250,3139,2529,1953,6027,1386,286,2800,1556,2194,210,1687,98,1915,English,0.02315315074079948,0.40994188337307647,-0.04198306074766355,0.3395853927030913,0.3990639765914405,0.6727889524723296,0.9529015288508962,0.32379817242749365,0.5845206006931081,0.6160000000000005,0.9999999999999999,1.0,0.3990639765914405,0.41319678634887974
"Gaspésie-Îles-de-la-Madeleine, Quebec",33145,830,19.0,89,583,24.0,16.0,92084,Quebec,97430,11314,8829,2471,17715,16432,4741,9824,1866,1283,5123,2977,3267,1467,1629,635,2493,11022,9597,1425,2870,1976,1748,4941,1252,266,2365,1059,1016,164,2018,186,1467,French,0.0026851712173781867,0.15784874312551356,0.02063333478128665,0.6070544285652231,0.0,0.3046979405818453,0.04676968601019227,0.0,0.0,0.07800000000000029,0.0,0.3008474576271185,0.0,0.40892015538268883
